date,open,high,low,close,volume,average,barCount
2025-05-19 10:02:00-04:00,518.75,519.17,518.7,518.97,265273.0,518.951,1413
2025-05-19 10:03:00-04:00,518.98,519.03,518.68,518.75,114983.0,518.825,692
2025-05-19 10:04:00-04:00,518.75,518.94,518.64,518.82,103763.0,518.778,601
2025-05-19 10:05:00-04:00,518.83,519.07,518.68,518.86,138346.0,518.834,702
2025-05-19 10:06:00-04:00,518.85,520.95,518.81,519.98,230324.0,519.286,1597
2025-05-19 10:07:00-04:00,519.98,520.09,519.47,519.86,289550.0,519.82,1811
2025-05-19 10:08:00-04:00,519.87,519.93,519.68,519.72,163049.0,519.807,790
2025-05-19 10:09:00-04:00,519.75,520.19,519.75,520.1,131620.0,520.016,710
2025-05-19 10:10:00-04:00,520.1,520.12,519.88,520.06,92413.0,519.995,548
2025-05-19 10:11:00-04:00,520.09,520.16,519.66,519.87,149279.0,519.874,562
2025-05-19 10:12:00-04:00,519.93,520.05,519.58,519.67,96571.0,519.794,614
2025-05-19 10:13:00-04:00,519.67,519.73,519.36,519.48,140229.0,519.527,787
2025-05-19 10:14:00-04:00,519.48,519.67,519.37,519.55,72152.0,519.541,408
2025-05-19 10:15:00-04:00,519.55,519.94,519.52,519.89,64083.0,519.768,376
2025-05-19 10:16:00-04:00,519.88,520.41,519.85,520.31,183957.0,520.182,811
2025-05-19 10:17:00-04:00,520.3,520.56,520.23,520.31,95548.0,520.388,643
2025-05-19 10:18:00-04:00,520.31,520.53,520.3,520.34,118654.0,520.388,443
2025-05-19 10:19:00-04:00,520.33,520.36,520.07,520.18,78764.0,520.172,460
2025-05-19 10:20:00-04:00,520.19,520.3,520.05,520.12,52070.0,520.16,368
2025-05-19 10:21:00-04:00,520.14,520.28,520.09,520.12,53230.0,520.175,327
2025-05-19 10:22:00-04:00,520.09,520.23,519.68,519.8,111728.0,519.963,602
2025-05-19 10:23:00-04:00,519.78,520.09,519.73,519.87,82965.0,519.918,507
2025-05-19 10:24:00-04:00,519.89,520.08,519.52,519.93,173306.0,519.649,332
2025-05-19 10:25:00-04:00,519.9,519.9,519.47,519.53,147395.0,519.662,830
2025-05-19 10:26:00-04:00,519.5,519.54,519.14,519.17,101840.0,519.258,601
2025-05-19 10:27:00-04:00,519.16,519.17,518.87,518.9,115771.0,518.995,523
2025-05-19 10:28:00-04:00,518.88,519.02,518.5,518.93,276024.0,518.722,1133
2025-05-19 10:29:00-04:00,518.94,519.27,518.94,519.17,82228.0,519.111,474
2025-05-19 10:30:00-04:00,519.19,519.19,518.62,518.72,97377.0,518.927,564
2025-05-19 10:31:00-04:00,518.7,518.98,518.69,518.86,73234.0,518.854,417
2025-05-19 10:32:00-04:00,518.84,519.01,518.71,518.95,37435.0,518.874,242
2025-05-19 10:33:00-04:00,518.94,519.15,518.8,519.09,48095.0,519.016,278
2025-05-19 10:34:00-04:00,519.1,519.36,519.03,519.28,58883.0,519.261,375
2025-05-19 10:35:00-04:00,519.27,519.52,519.1,519.48,118760.0,519.37,425
2025-05-19 10:36:00-04:00,519.49,519.51,519.18,519.21,53246.0,519.327,339
